10.210.14.129 00:18:7D:2D:0F:44
10.210.14.131 28:8A:1C:47:AB:40
10.210.14.132 00:26:88:01:5C:80
10.210.14.133 3C:8A:B0:DA:95:3F
10.210.14.134 3C:8A:B0:DA:BF:FF
10.210.14.136 28:8A:1C:47:AB:40
10.210.14.137 54:E0:32:AC:0C:20
10.210.14.138 00:24:DC:1B:54:00
10.210.14.139 3C:8A:B0:DA:B4:3F
10.210.14.140 3C:8A:B0:DB:2A:7F
10.210.14.141 54:E0:32:AC:0E:20
10.210.14.142 00:26:88:E7:8D:00
10.210.14.143 28:8A:1C:47:AD:40
10.210.14.144 B0:C6:9A:73:66:80
10.210.14.145 3C:8A:B0:DA:AD:7F
10.210.14.146 3C:8A:B0:DA:8E:7F
10.210.14.147 28:8A:1C:47:AF:C0
10.210.14.148 28:8A:1C:47:AD:C0
10.210.14.150 28:8A:1C:47:AD:C0
10.210.14.151 3C:8A:B0:DA:7B:BF
10.210.14.152 3C:8A:B0:DB:23:7F
10.210.14.154 00:26:88:01:5F:80
